OBJECTID,X,Y,Z,Layer,Text,MUTCD,Width,Height,Condition,Orientation
0,1220467.312733988,889168.8825545135,-22.36151035,Sign Face,Bothell Way NE,D3-1,9.196839061180752,1.798606451749802,,79.28510350512956
1,1199077.025,876451.4774541106,130.5444195804996,Sign Face,NE 130th St,D3-1,2.779493959,0.9750148576001327,,-163.5390561
2,1198471.219562804,875012.0166350189,126.1056377,Sign Face,31st Ave NE,D3-1,2.833061179369688,0.7493196229139965,,11.770934611910524
3,1197098.836406473,893686.7218164967,150.9023468520247,Sign Face,THIS STREAM IS IN YOUR CARE,I-1,1.596166564,4.182320102949937,,136.66543127428025
4,1214649.925856953,887788.5591367228,-13.905518,Sign Face,372,I-2,1.269203279614449,1.953753042519093,,-62.27109987
5,1195651.847933165,895141.8899455657,221.498823,Sign Face,NO OVERNIGHT PARKING,R7-201a,2.01978461,2.169350120723248,,-43.32487747
6,1196757.560855122,869848.5312,111.4483936431013,Sign Face,24th Ave NE,D3-1,6.076018066008887,1.770007817099492,,178.00131156610468
7,1186000.459678771,897899.8636949554,347.9328062019749,Sign Face,"99 SOUTH
Aurora Ave",D1-1,12.96851644476255,8.568601104021074,,-32.90425324
8,1198293.895967833,874602.7198609303,113.9974148140354,Sign Face,NO STOPS,R7-107,0.9919395704567433,1.642869877864917,,-162.8933641
9,1197059.426357238,893703.5121,150.4289399,Sign Face,Rotary International,M4-4,1.496928353458643,1.544874405910572,,-23.95105558
10,1177645.067873758,908610.5149675384,-57.84178472,Sign Face,EDMONDS MARSH,D1-1,1.872730584988992,1.490072366371751,,-169.8660534
11,1177645.147972228,908610.5726384368,-58.56169475,Sign Face,,D3-1,0.3493497900168102,0.4429233218977849,,-1.105884251
12,1219384.329354878,888557.1105180637,-17.38657717,Sign Face,"BOTHELL LANDING
Performing Arts Center
Bothell Landing Park & Trails
Main Street
UW Bothell/Cascadia Campus",D1-1,5.743333294590315,6.023999428749085,,-156.4168116
13,1199255.750435607,879647.2261876311,161.0146035,Sign Face,"PUSH BUTTON
WAIT FOR
WALK SIGNAL",R10-3e,0.6883881731082997,0.621194728,,-93.49002905
14,1220949.830322997,889247.6506891011,-23.79895093,Sign Face,SR 522,M1-6,3.403564683397611,1.250372317035993,,20.632828126609308
15,1185364.407339904,898754.7009998463,329.0356998087966,Sign Face,YIELD,R1-2,1.199473317936063,0.914009,,-44.2373028
16,1188094.336211974,896894.9987517181,295.4862804120783,Sign Face,,R6-1,0.1373017037163178,1.299415030181408,,130.8697001
17,1190393.226381245,896610.0428376149,229.4858669815464,Sign Face,USE CROSSWALK,R9-3a,1.770706136524677,2.477001186956962,,0.9634446055385313
18,1177667.258353901,908413.6569576914,-55.78572427,Sign Face,,I-2,0.5908512727171183,3.489363129536311,,91.18146492984252
19,1219231.847899901,888296.5823063357,4.627741093039788,Sign Face,US Flag,M1-9a,2.852076157232126,7.955724218686423,,13.933103203681329
20,1181269.831,901719.7717465097,240.8200007400913,Sign Face,1,M3-1,0.63750516,0.6098284110923609,,-145.1477122
21,1186125.422903869,897828.8556002695,337.0652460314834,Sign Face,THRU TRAFFIC,W16-7P,0.3136202208946149,0.893444167,,130.821062
22,1213123.150496642,888414.4383941856,-35.6936936,Sign Face,PUSH BUTTON FOR WALK SIGNAL,R10-3e,0.6049437928448121,0.7684978874524435,,13.311041746393558
23,1198103.957,874166.4042709238,112.5516749757531,Sign Face,"CURB LANE
BUSES ONLY
6-9 AM
3-7 PM
EXCEPT SAT-SUN-HOL
BICYCLES OK
$136 FINE
RIGHT TURNS PERMITTED",R3-11a,2.652936420440674,3.700571609437466,,-145.3436683
24,1198010.326558247,873959.2359860117,108.6544714,Sign Face,20 372 322,I-2,1.314425182317694,2.654240367213885,,-163.1986224
25,1192594.563,861920.7787586354,209.4695096232496,Sign Face,,W1-7,1.850369892468055,1.025776774113377,,48.42722381462273
26,1217633.062413044,886810.4145424794,1.511416250268887,Sign Face,US,M1-4,2.390989393,1.153901571085056,,-53.38560313
27,1217149.173538227,886986.0786973968,1.585363408128693,Sign Face,,R9-3,1.715971464961767,1.80666988,,16.710902143029813
28,1202986.980669982,887264.5286,-38.17166082,Sign Face,"PRIVATE PROPERTY
NO THROUGH TRAFFIC",R7-9,1.200056456699968,1.618361818889777,,-29.9506605
29,1202988.239817931,887265.2716267029,-38.48172521,Sign Face,UNAUTHORIZED VEHICLES WILL BE TOWED AWAY AT OWNER'S EXPENSE,R7-201a,1.122404549047351,1.443338155,,-26.64187446
30,1206875.700516173,889287.2392077397,1.596367561221392,Sign Face,61 Ave NE,D3-1,8.448671635985376,1.884146572500468,,-93.30288513
31,1200046.333548807,882544.6826117848,131.1715780856215,Sign Face,ONLY,R3-8L,3.106084714879592,3.055189920167129,,-149.3855412
32,1195101.145320047,864774.2707345468,256.5334682871901,Sign Face,Lake City Wy NE,D3-1,4.294757548073928,0.9742310815552871,,130.91701190735756
33,1219344.141949991,886418.1060531504,15.42259625772662,Sign Face,,D3-1,1.889726479103168,1.501738954931498,,17.553407852355072
34,1183926.216882547,901450.1707091156,282.3743861414992,Sign Face,DO NOT ENTER,R5-1,1.493515368600687,1.504659048691392,,174.0339779
35,1198271.692671935,874530.3669129323,118.3334578826033,Sign Face,NE 123 ST,D3-1,3.020705338617166,0.91663332,,13.645756354134717
36,1208253.637700418,889352.5039918151,9.384704750577882,Sign Face,Tires,D1-1,5.624857957959176,5.135556429028512,,86.75831551432638
